DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/utils/translation/trans_real.py first seen with mtime 1690275853.2796047
DEBUG 2023-12-31 15:24:12,447 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socket.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/reportlab/pdfbase/pdfutils.py first seen with mtime 1690278926.8086765
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/numpy/matrixlib/__init__.py first seen with mtime 1700316896.3646753
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1690275852.7392926
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/_lib/_testutils.py first seen with mtime 1690278917.9777467
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/core/checks/files.py first seen with mtime 1690275853.1190963
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/core/strings/accessor.py first seen with mtime 1690278764.1811204
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1690275852.3050053
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/core/checks/database.py first seen with mtime 1690275853.1187928
DEBUG 2023-12-31 15:24:12,448 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/configparser.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/views/generic/edit.py first seen with mtime 1690275853.2863996
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/reportlab/rl_config.py first seen with mtime 1690278926.718268
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_resampling.py first seen with mtime 1690278918.5613904
DEBUG 2023-12-31 15:24:12,448 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/csv.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_lsq/common.py first seen with mtime 1690278917.8428247
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_cobyla_py.py first seen with mtime 1690278917.7605011
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/linalg/cython_blas.cpython-38-darwin.so first seen with mtime 1690278917.7108054
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/django/utils/deconstruct.py first seen with mtime 1690275853.2678132
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/urllib3/util/wait.py first seen with mtime 1690278914.185395
DEBUG 2023-12-31 15:24:12,448 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/tqdm/version.py first seen with mtime 1703683420.4646847
DEBUG 2023-12-31 15:24:12,449 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/schemas/__init__.py first seen with mtime 1690275894.322055
DEBUG 2023-12-31 15:24:12,449 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/spatial/_distance_wrap.cpython-38-darwin.so first seen with mtime 1690278918.4775777
DEBUG 2023-12-31 15:24:12,449 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/request.py first seen with mtime 1582584758.0
